pg_id,title,author,born,died,locc,subjects,bookshelves,bytes,words_est
34730,Charles Darwin,"Allen, Grant, 1848-1899",1848,1899,QH,"Darwin, Charles, 1809-1882",Category: Biographies; Category: History - Other; Category: History - Modern (1750+); Category: Science - Biology,359950,61008
16325,Science in Arcady,"Allen, Grant, 1848-1899",1848,1899,Q,Science; Archaeology,"Category: Essays, Letters & Speeches; Category: Science - Biology; Category: Science - Earth/Agricultural/Farming; Category: Environmental Issues",518655,87907
57581,The Evolution of the Idea of God: An Inquiry Into the Origins of Religions,"Allen, Grant, 1848-1899",1848,1899,BL,Religion; God,Category: History - Religious; Category: Philosophy & Ethics; Category: Religion/Spirituality,913162,154773
38537,Church and State as Seen in the Formation of Christendom,"Allies, T. W. (Thomas William), 1813-1903",1813,1903,BV,"Church history -- Primitive and early church, ca. 30-600; Church and state; Religion and state",Category: History - Other; Category: History - Religious,858105,145441
34172,"Peter's Rock in Mohammed's Flood, from St. Gregory the Great to St. Leo III","Allies, T. W. (Thomas William), 1813-1903",1813,1903,BR,"Church history -- Middle Ages, 600-1500; Papacy -- History; Papacy; Christianity and other religions -- Islam",Category: History - Medieval/Middle Ages; Category: History - Religious,932342,158024
38147,"St. Peter, His Name and His Office, as Set Forth in Holy Scripture","Allies, T. W. (Thomas William), 1813-1903",1813,1903,BS,"Peter, the Apostle, Saint",Category: Religion/Spirituality,598547,101448
33765,The Church of England cleared from the charge of Schism | Upon Testimonies of Councils and Fathers of the first six centuries,"Allies, T. W. (Thomas William), 1813-1903",1813,1903,BX,Continuity of the church -- Anglican Communion; Papacy -- History -- To 1309; Episcopacy -- History of Doctrines,Category: History - British; Category: History - Religious; Category: Religion/Spirituality,415112,70357
29268,"The Holy See and the Wandering of the Nations, from St. Leo I to St. Gregory I","Allies, T. W. (Thomas William), 1813-1903",1813,1903,BR,"Church history -- Primitive and early church, ca. 30-600",Category: History - European; Category: History - Medieval/Middle Ages; Category: History - Religious,689897,116931
64748,An analysis of religious belief,"Amberley, John Russell, viscount, 1842-1876",1842,1876,BL,Religions,Category: Philosophy & Ethics; Category: Religion/Spirituality,1757129,297818
72047,The Revelation of St. John the Divine,"Ames, A. H. (Alfred Henno), 1831-1910",1831,1910,BS,"Bible. Revelation -- Criticism, interpretation, etc.",Category: Religion/Spirituality,328980,55759
70648,The course of creation,"Anderson, John, 1795?-1864",1795,1864,BS,Religion and science; Geology,Category: Science - Earth/Agricultural/Farming; Category: Religion/Spirituality,875887,148455
17249,"Added Upon | A Story","Anderson, Nephi, 1865-1923",1865,1923,BX; PS,Latter Day Saints -- Fiction,Latter Day Saints; Category: Science-Fiction & Fantasy; Category: Novels; Category: American Literature; Category: Religion/Spirituality,328009,55594
