pg_id,title,author,born,died,locc,subjects,curated_shelves,bytes,words_est
31824,"The ""Genius""","Dreiser, Theodore, 1871-1945",1871,1945,PS,Artists -- United States -- Fiction; Artists -- Relations with women -- Fiction,Banned Books from Anne Haight's list,1735536,294158
39858,Trilby,"Du Maurier, George, 1834-1896",1834,1896,PR,Musical fiction; Psychological fiction; Love stories; Women singers -- Fiction; Paris (France) -- Fiction; Artists -- Fiction; Artists' models -- Fiction; Hypnotists -- Fiction,"Bestsellers, American, 1895-1923",620877,105233
1257,The three musketeers,"Dumas, Alexandre, 1802-1870",1802,1870,PQ,"Historical fiction; France -- History -- Louis XIII, 1610-1643 -- Fiction; Adventure and adventurers -- Fiction; Swordsmen -- Fiction",Adventure; Historical Fiction; Best Books Ever Listings; Movie Books,1388843,235397
145,Middlemarch,"Eliot, George, 1819-1880",1819,1880,PR,Didactic fiction; City and town life -- Fiction; England -- Fiction; Young women -- Fiction; Love stories; Domestic fiction; Married people -- Fiction; Bildungsromans,Historical Fiction; Best Books Ever Listings,1865684,316217
6688,The Mill on the Floss,"Eliot, George, 1819-1880",1819,1880,PR,England -- Fiction; Psychological fiction; Young women -- Fiction; Love stories; Domestic fiction; Siblings -- Fiction; Conflict of generations -- Fiction; Vendetta -- Fiction; Loss (Psychology) -- Fiction; Water mills -- Fiction,Harvard Classics,1212404,205492
6057,Fran,"Ellis, J. Breckenridge (John Breckenridge), 1870-1956",1870,1956,PS,Fiction,"Bestsellers, American, 1895-1923",420421,71257
9879,The Amateur Gentleman,"Farnol, Jeffery, 1878-1952",1878,1952,PR,England -- Social life and customs -- 19th century -- Fiction; Inheritance and succession -- Fiction; Bildungsromans; Young men -- Fiction; Social classes -- Fiction,"Bestsellers, American, 1895-1923",1070120,181376
5257,The Broad Highway,"Farnol, Jeffery, 1878-1952",1878,1952,PR,Kent (England) -- Fiction,"Bestsellers, American, 1895-1923",862062,146112
14957,The Brimming Cup,"Fisher, Dorothy Canfield, 1879-1958",1879,1958,PS,Married women -- Fiction; Man-woman relationships -- Fiction; Vermont -- Fiction,"Bestsellers, American, 1895-1923",765013,129663
2413,Madame Bovary,"Flaubert, Gustave, 1821-1880",1821,1880,PQ,Adultery -- Fiction; Domestic fiction; Married women -- Fiction; France -- Fiction; Middle class -- Fiction; Physicians' spouses -- Fiction; Suicide victims -- Fiction,Best Books Ever Listings; Banned Books from Anne Haight's list,694920,117783
