pg_id,title,author,born,died,locc,subjects,bookshelves,bytes,words_est
15493,The Lancashire Witches: A Romance of Pendle Forest,"Ainsworth, William Harrison, 1805-1882",1805,1882,PR,Witches -- Fiction; Lancashire (England) -- Fiction,Historical Fiction; Category: Historical Novels; Category: Novels; Category: British Literature,1382491,234320
46398,The Manchester Rebels of the Fatal '45,"Ainsworth, William Harrison, 1805-1882",1805,1882,PR,"Jacobite Rebellion, 1745-1746 -- Fiction; Great Britain -- History -- George II, 1727-1760 -- Fiction",Category: Historical Novels; Category: Novels; Category: British Literature,669309,113442
49850,"The Tower of London: A Historical Romance, Illustrated","Ainsworth, William Harrison, 1805-1882",1805,1882,PR,"London (England) -- Fiction; Grey, Jane, Lady, 1537-1554 -- Fiction; Tower of London (London, England) -- Fiction",Category: Historical Novels; Category: Novels; Category: British Literature,1152551,195347
2866,Windsor Castle,"Ainsworth, William Harrison, 1805-1882",1805,1882,PR,"Historical fiction; Biographical fiction; Anne Boleyn, Queen, consort of Henry VIII, King of England, 1507-1536 -- Fiction; Great Britain -- History -- Tudors, 1485-1603 -- Fiction; Great Britain -- History -- Henry VIII, 1509-1547 -- Fiction; Windsor Castle -- Fiction; Queens -- Great Britain -- Fiction","Historical Fiction; Category: Historical Novels; Category: Mythology, Legends & Folklore; Category: British Literature",707907,119984
39066,The White Blackbird,"Aitken, Robert, 1872-1929",1872,1929,PS,Fiction,Category: Adventure; Category: Novels,601429,101937
49915,By far Euphrates,"Alcock, Deborah, 1835-1913",1835,1913,PR,Armenia -- Fiction; British -- Armenia -- Fiction,Category: Historical Novels; Category: Adventure; Category: British Literature,482972,81859
49782,The Czar,"Alcock, Deborah, 1835-1913",1835,1913,PR,"Historical fiction; Russia -- History -- Alexander I, 1801-1825 -- Fiction",Category: Historical Novels; Category: Novels,833357,141246
77324,The dark year of Dundee,"Alcock, Deborah, 1835-1913",1835,1913,PR,Historical fiction; Reformation -- Scotland -- Fiction,,426848,72347
77308,Under the Southern Cross,"Alcock, Deborah, 1835-1913",1835,1913,PR,Peru -- History -- 1548-1820 -- Fiction,,647222,109698
54212,"A Modern Mephistopheles, and A Whisper in the Dark","Alcott, Louisa May, 1832-1888",1832,1888,PS,American fiction -- 19th century; Psychological fiction; Man-woman relationships -- Fiction; Manipulative behavior -- Fiction; Control (Psychology) -- Fiction,Category: Novels; Category: American Literature,439600,74508
3499,Jo's Boys,"Alcott, Louisa May, 1832-1888",1832,1888,PZ; PS,Boarding schools -- Fiction; Schools -- Fiction; Family life -- New England -- Fiction; New England -- Fiction,Children's Literature; School Stories; Category: Children & Young Adult Reading; Category: Novels; Category: American Literature,572550,97042
2788,Little Men: Life at Plumfield With Jo's Boys,"Alcott, Louisa May, 1832-1888",1832,1888,PZ; PS,Boarding schools -- Fiction; Schools -- Fiction; Family life -- New England -- Fiction; New England -- History -- 19th century -- Fiction,Children's Literature; School Stories; Category: Children & Young Adult Reading; Category: Novels; Category: American Literature,599622,101630
