corpus,title,file,N,M,alpha,alpha0,alpha_surr,B_orig,B_surr,B_fgn,gap_surr,gap_fgn,frac_orig_gt_both,dfa_orig,dfa_fgn,evr1
wiki,unitedkingdom,United_Kingdom.txt,13748,4550,0.7783832419092652,0.7812500000000001,0.7880595539268418,1.3323559266268221,0.9478185711989833,0.9407489967989614,0.38453735542783885,0.3916069298278607,1.0,0.7340006228464154,0.493994814879794,0.050965601525313785
wiki,unitedstates,United_States.txt,23437,9639,0.6831642661006155,0.6425000000000001,0.6794808884995384,1.442403190847353,0.9481063198095789,0.9411554890968485,0.494296871037774,0.5012477017505044,1.0,0.7624320038536097,0.4898678386762622,0.04898447000967269
wiki,wikipedia,Wikipedia.txt,12348,4464,0.6711934910723234,0.6887500000000001,0.6777033606912589,1.2405254399025625,0.9427943121682645,0.9659041288531529,0.297731127734298,0.27462131104940957,1.0,0.712186131679675,0.4912326455899823,0.06496713103844778
wiki,winstonchurchill,Winston_Churchill.txt,19992,7327,0.7394862287534648,0.711875,0.7313024454768843,1.3442695318492421,0.9440628523146641,0.9456447055161415,0.400206679534578,0.3986248263331006,1.0,0.7298673677929834,0.4984075891369928,0.046735480930454425
wiki,worldwari,World_War_I.txt,24409,9867,0.738341441936618,0.711875,0.7369916988095179,1.329263026257139,0.9458565141015864,0.953553428959778,0.38340651215555255,0.375709597297361,1.0,0.7256474067663764,0.49153911468436967,0.055309447845080024
wiki,worldwarii,World_War_II.txt,25671,10637,0.7076648936607447,0.6887500000000001,0.7039652425531105,1.2969032484678968,0.9458042653246765,0.9584408311169703,0.3510989831432203,0.3384624173509265,1.0,0.720819039762513,0.5032280383386416,0.0533498918532575
grok,adolfhitler,Adolf_Hitler.txt,12367,3466,0.6742174666662138,0.6887500000000001,0.675969363966567,1.355701044370485,0.9453270437909538,0.9488697266107783,0.41037400057953133,0.4068313177597068,1.0,0.7208986419447758,0.5007678677674914,0.07064780340845835
grok,alberteinstein,Albert_Einstein.txt,8675,2328,0.735448760226731,0.7003125000000001,0.7385578258760757,1.461165013215143,0.9361936098250615,0.9216948891865494,0.5249714033900815,0.5394701240285936,1.0,0.7020675784290814,0.4933461664759755,0.08353917733953918
grok,alexanderthegreat,Alexander_the_Great.txt,14027,4132,0.7842091648530634,0.7581250000000002,0.7774313064454029,1.21865852853171,0.9443759707978867,0.9146391686766606,0.27428255773382326,0.30401935985504935,1.0,0.7019838911909816,0.49996155552859645,0.08473965134001302
grok,americancivilwar,American_Civil_War.txt,18142,6595,0.6984900001313687,0.6887500000000001,0.691904350097089,1.3206179072868736,0.950617674602235,0.9607617981353936,0.37000023268463855,0.3598561091514799,1.0,0.711321201543299,0.5073182370694131,0.04932905609871557
grok,ancientrome,Ancient_Rome.txt,24230,9248,0.6977294740866109,0.6656250000000001,0.6948904642549951,1.401779853829861,0.9494086453946903,0.9317981779527722,0.45237120843517065,0.4699816758770887,1.0,0.7541706441532237,0.5054130414444798,0.08005451898303463
grok,artificialintelligence,Artificial_intelligence.txt,12607,4456,0.6740240221731153,0.6656250000000001,0.6728871116135753,1.172458864423335,0.9447387357174023,0.9807505523326709,0.2277201287059326,0.19170831209066397,0.8,0.6991008563771289,0.5006554669494523,0.07935551569021626
grok,beijing,Beijing.txt,12676,4255,0.6748938228675196,0.6656250000000001,0.6755062199022931,1.4772974126551344,0.9410419855361596,0.9435822217430208,0.5362554271189748,0.5337151909121136,1.0,0.7549190851780775,0.49495071774735955,0.04905397041647035
grok,brazil,Brazil.txt,21899,8618,0.866709546953396,0.8275000000000001,0.8739812339151136,1.4790742592244128,0.9443927178229105,0.9523562010365867,0.5346815414015024,0.5267180581878261,1.0,0.7801425870167253,0.5082638005890165,0.05326333122660416
grok,christianity,Christianity.txt,28589,11593,0.7688801695705937,0.7581250000000002,0.7608616656052777,1.3356819315825503,0.9476682153322604,0.9535221242957386,0.3880137162502899,0.38215980728681176,1.0,0.7364324212804026,0.4983391584439901,0.08487174186328642
grok,coldwar,Cold_War.txt,19482,7452,0.6265096243484973,0.619375,0.6254653037652735,1.2778161780533939,0.9446093675132043,0.9487833216355327,0.3332068105401895,0.3290328564178612,1.0,0.7108357770166773,0.4994400533517284,0.052313994240324145
grok,france,France.txt,23436,9177,0.8110241210614303,0.7581250000000002,0.8043297977135718,1.5204847668509787,0.9468745821123046,0.9484325367469955,0.5736101847386741,0.5720522301039832,1.0,0.7906226707395638,0.4917250860119153,0.04720597639807061
grok,hinduism,Hinduism.txt,16323,5649,0.7534874168519387,0.7581250000000002,0.7548101671873154,1.2890941962127045,0.9480352112660638,0.9463345871952582,0.34105898494664066,0.3427596090174463,1.0,0.7141771268504712,0.5068057887132651,0.09789348006961988
grok,industrialrevolution,Industrial_Revolution.txt,10636,3371,0.7269593072342465,0.7465625000000001,0.7271819204477822,1.1765891201089143,0.9471055354327873,0.9580866565005376,0.22948358467612695,0.21850246360837666,1.0,0.7135485160023078,0.5076053399424689,0.056100306638053384
grok,isaacnewton,Isaac_Newton.txt,11713,3393,0.7712383771137072,0.7581250000000002,0.7694030055772403,1.3200679759484655,0.9473489142591415,0.9438094159351422,0.372719061689324,0.37625856001332325,1.0,0.7153550881797494,0.4922743306587322,0.07787504446819458
grok,italy,Italy.txt,13658,4476,0.8808131726611947,0.87375,0.874179885083362,1.4553235579719277,0.9429392141063658,0.9506260375985562,0.5123843438655619,0.5046975203733715,1.0,0.77054100410711,0.5151057718354952,0.05054946367517985
grok,josephstalin,Joseph_Stalin.txt,12396,3972,0.6960018667553525,0.711875,0.7006358271415559,1.2268866108928553,0.9427520149311484,0.9700073793281895,0.284134595961707,0.25687923156466586,1.0,0.7351653863827596,0.5217738400593842,0.0660695307761266
grok,judaism,Judaism.txt,29796,12386,0.7546883076486501,0.711875,0.7499825598777446,1.3295508356521142,0.9495782389478038,0.9397005356204134,0.3799725967043104,0.38985030003170074,1.0,0.7238361344521781,0.5010165259574033,0.08204157367654408
grok,middleages,Middle_Ages.txt,11860,3727,0.8085867282754301,0.8043750000000001,0.815989819369583,1.3389375937563532,0.9506361403246831,0.9856480839701842,0.3883014534316701,0.353289509786169,1.0,0.731079755804536,0.49447843249160117,0.06372966116467779
grok,moon,Moon.txt,7933,2186,0.8002366758107997,0.7581250000000002,0.7976813591286931,1.4419591645182508,0.9427434762397462,0.9414043541844247,0.4992156882785046,0.5005548103338261,1.0,0.6749893450081792,0.49756942022756984,0.08666755940203748
grok,moscow,Moscow.txt,11512,3440,0.7637197263964713,0.7350000000000001,0.7620654910244634,1.5482769874434692,0.9424578238408794,0.9533381082300465,0.6058191636025898,0.5949388792134227,1.0,0.8033069259158836,0.5020527768767383,0.048103943537381656
grok,napoleon,Napoleon.txt,32860,12982,0.7038901828467229,0.6656250000000001,0.7031611892365475,1.444716140360052,0.9485306304854717,0.9396748915277536,0.4961855098745802,0.5050412488322983,1.0,0.7461779966580662,0.4978653215938139,0.05624983806926503
grok,nelsonmandela,Nelson_Mandela.txt,13022,4106,0.6766543689791094,0.6656250000000001,0.67751082995372,1.3164447781046724,0.9441514961215394,0.9319326215272413,0.37229328198313305,0.3845121565774311,1.0,0.7050040037206229,0.48912368850549254,0.05779804447520367
grok,newyorkcity,New_York_City.txt,11401,3616,0.7094933754711237,0.6887500000000001,0.70802049582302,1.3095452992953758,0.945880726248973,0.922602453813241,0.36366457304640276,0.38694284548213476,1.0,0.74339541725115,0.48060360425849924,0.04649058694253569
grok,olympicgames,Olympic_Games.txt,12747,4049,0.7262759441108502,0.711875,0.7260794325610208,1.261071326968414,0.9439381419940969,0.9502199585831976,0.3171331849743171,0.3108513683852163,1.0,0.7056018636384359,0.5020089133006451,0.052894823048078576
grok,ottomanempire,Ottoman_Empire.txt,11476,3649,0.6634858205005788,0.6425000000000001,0.6626117150963513,1.23505287549834,0.9393565120555735,0.9261385603730735,0.2956963634427666,0.30891431512526657,1.0,0.7102360113165258,0.49043451123710574,0.06525160169372286
grok,paris,Paris.txt,14957,5064,0.7991764539488129,0.7812500000000001,0.7968428511020168,1.3228118891490053,0.9413506963011689,0.9533411766450977,0.3814611928478364,0.3694707125039076,1.0,0.7550282963819658,0.4897049943017164,0.05421210647122749
grok,protestantism,Protestantism.txt,17433,6546,0.7362152508869255,0.7581250000000002,0.7381502980202563,1.1848620989328433,0.9477942612655479,0.9466189628795826,0.23706783766729544,0.23824313605326075,1.0,0.6798033040472403,0.49703515004458493,0.08443209484026255
grok,romanempire,Roman_Empire.txt,15108,4970,0.7095083479648048,0.7003125000000001,0.7095450388265399,1.3337425272144188,0.950459619151865,0.9391955342458731,0.3832829080625537,0.3945469929685457,1.0,0.7381625763728306,0.4959536826582635,0.0785198340237835
grok,rome,Rome.txt,14538,4454,0.7669089805664498,0.7581250000000002,0.7698071275860809,1.3794889083899737,0.9454518740272704,0.970785440398753,0.43403703436270336,0.4087034679912207,1.0,0.7556249849383982,0.5021272077241681,0.061935545360143646
grok,russia,Russia.txt,17673,6482,0.7729344938563979,0.7812500000000001,0.771437405126212,1.621859616107122,0.9478575695413856,0.9451515820346275,0.6740020465657364,0.6767080340724945,1.0,0.7901875720680338,0.5128688468999673,0.0516845862568467
grok,sigmundfreud,Sigmund_Freud.txt,12957,4247,0.7655367313105954,0.7581250000000002,0.7743625317333938,1.1586962413735886,0.9471397071982611,0.9637166898285396,0.2115565341753275,0.19497955154504898,0.9,0.6711915187044024,0.5121138217990933,0.08605519275447862
grok,slavery,Slavery.txt,9975,3021,0.7155447868422006,0.711875,0.7126635599495893,1.1886901637979508,0.9351271484931811,0.9505687198248035,0.25356301530476966,0.23812144397314727,0.9,0.6527858520197354,0.4955094154804959,0.06183086722686398
grok,socialism,Socialism.txt,12069,4189,0.7657136479567218,0.7696875000000001,0.7668763709085548,1.2263684589166046,0.9464785677373557,0.9443644854216119,0.2798898911792489,0.28200397349499273,0.9,0.6650135408080431,0.49905194929163643,0.0710804391305221
grok,unitedkingdom,United_Kingdom.txt,10037,2755,0.8120728207169278,0.8043750000000001,0.8118747628127865,1.3355812965335452,0.942097479011578,0.9685782282506683,0.39348381752196715,0.3670030682828769,1.0,0.7236687942786497,0.5126472503656774,0.05105925419271723
grok,unitedstates,United_States.txt,19432,7615,0.723787831006684,0.711875,0.7257905876812354,1.4292753776473635,0.9479501909672134,0.9396687936014269,0.48132518668015,0.4896065840459366,1.0,0.7583087447544233,0.5124609294830851,0.04548687809967776
grok,wikipedia,Wikipedia.txt,10264,3338,0.6008849860759197,0.6078125000000001,0.600295612374134,1.3102197221506218,0.9507550292463993,0.9422341358211727,0.35946469290422245,0.3679855863294491,1.0,0.711851095176331,0.5057298341302598,0.06622677282076685
grok,winstonchurchill,Winston_Churchill.txt,20130,7287,0.7549918085110131,0.7350000000000001,0.7541222575139227,1.3357509851401865,0.9495755016456545,0.9375246996624315,0.386175483494532,0.39822628547775507,1.0,0.7250422782194994,0.5027801301445611,0.04652183334721027
grok,worldwari,World_War_I.txt,23614,9422,0.7428623089711037,0.711875,0.7488831535460715,1.2912086575295743,0.9477851256598108,0.9518705100091834,0.3434235318697635,0.3393381475203908,1.0,0.7260314281864005,0.49226855537570213,0.05502065175357613
grok,worldwarii,World_War_II.txt,22884,8916,0.7080806043707231,0.6656250000000001,0.7002420109623386,1.3287151266612822,0.9440907547232561,0.9556599189357844,0.3846243719380261,0.37305520772549783,1.0,0.7331091248732527,0.49151416589881886,0.05144251915496528
