file,k,M_filtered,alpha_text,alpha0_text,dfa_orig,dfa_fgn,dfa_surr_mean,dfa_surr_std
eng_wrnpc.txt,16,235933,0.7191,0.7697,0.6723,0.4882,0.5009,0.0118
eng_wrnpc.txt,17,235933,0.7191,0.7697,0.671,0.4956,0.5038,0.0125
eng_wrnpc.txt,18,235933,0.7191,0.7697,0.6545,0.5125,0.4915,0.0089
eng_wrnpc.txt,19,235933,0.7191,0.7697,0.6498,0.5225,0.4993,0.0086
eng_wrnpc.txt,20,235933,0.7191,0.7697,0.6535,0.4848,0.4977,0.0145
great_expectations_cut_clean.txt,1,64410,0.6881,0.735,0.605,0.5203,0.5009,0.0136
great_expectations_cut_clean.txt,2,64410,0.6881,0.735,0.6814,0.4931,0.4911,0.0089
great_expectations_cut_clean.txt,3,64410,0.6881,0.735,0.6931,0.5079,0.4953,0.015
great_expectations_cut_clean.txt,4,64410,0.6881,0.735,0.6336,0.4987,0.4994,0.0097
great_expectations_cut_clean.txt,5,64410,0.6881,0.735,0.6421,0.5024,0.4962,0.0075
great_expectations_cut_clean.txt,6,64410,0.6881,0.735,0.633,0.5184,0.5013,0.0137
great_expectations_cut_clean.txt,7,64410,0.6881,0.735,0.6474,0.4927,0.4976,0.0144
great_expectations_cut_clean.txt,8,64410,0.6881,0.735,0.6332,0.4867,0.4973,0.0114
great_expectations_cut_clean.txt,9,64410,0.6881,0.735,0.643,0.4889,0.4945,0.0138
great_expectations_cut_clean.txt,10,64410,0.6881,0.735,0.6301,0.4968,0.5031,0.0155
great_expectations_cut_clean.txt,11,64410,0.6881,0.735,0.5754,0.4859,0.5,0.0115
great_expectations_cut_clean.txt,12,64410,0.6881,0.735,0.6424,0.5097,0.5017,0.0138
great_expectations_cut_clean.txt,13,64410,0.6881,0.735,0.5639,0.5015,0.4999,0.0104
great_expectations_cut_clean.txt,14,64410,0.6881,0.735,0.5954,0.5219,0.4967,0.0129
great_expectations_cut_clean.txt,15,64410,0.6881,0.735,0.6447,0.4938,0.4966,0.0142
great_expectations_cut_clean.txt,16,64410,0.6881,0.735,0.5794,0.4985,0.4936,0.0136
great_expectations_cut_clean.txt,17,64410,0.6881,0.735,0.5859,0.5029,0.4928,0.0101
great_expectations_cut_clean.txt,18,64410,0.6881,0.735,0.6171,0.5177,0.5072,0.0096
great_expectations_cut_clean.txt,19,64410,0.6881,0.735,0.5953,0.4943,0.5048,0.0142
great_expectations_cut_clean.txt,20,64410,0.6881,0.735,0.6221,0.5085,0.5017,0.0095
kipling_junglebook.txt,1,49522,0.7713,0.8044,0.7149,0.5256,0.4984,0.0141
kipling_junglebook.txt,2,49522,0.7713,0.8044,0.7401,0.5051,0.5054,0.0193
kipling_junglebook.txt,3,49522,0.7713,0.8044,0.7686,0.5219,0.4991,0.0111
kipling_junglebook.txt,4,49522,0.7713,0.8044,0.7673,0.5155,0.4944,0.0128
kipling_junglebook.txt,5,49522,0.7713,0.8044,0.7238,0.5158,0.4988,0.011
kipling_junglebook.txt,6,49522,0.7713,0.8044,0.7143,0.5014,0.5031,0.0147
kipling_junglebook.txt,7,49522,0.7713,0.8044,0.7002,0.4917,0.5026,0.0112
kipling_junglebook.txt,8,49522,0.7713,0.8044,0.6489,0.5185,0.4975,0.0151
kipling_junglebook.txt,9,49522,0.7713,0.8044,0.6405,0.4625,0.4947,0.0131
kipling_junglebook.txt,10,49522,0.7713,0.8044,0.6986,0.5135,0.5017,0.012
kipling_junglebook.txt,11,49522,0.7713,0.8044,0.688,0.5068,0.4956,0.0149
kipling_junglebook.txt,12,49522,0.7713,0.8044,0.6679,0.478,0.4894,0.017
kipling_junglebook.txt,13,49522,0.7713,0.8044,0.6617,0.4936,0.504,0.0157
