titolo,wiki_tot,grok_tot,rapporto,wiki_camel,wiki_frasi1k,wiki_lentok,wiki_voc_altro,grok_camel,grok_frasi1k,grok_lentok,grok_voc_altro
Buddhism,90794,155687,1.7147278454523427,0.0,6.675,5.311250713877784,0.8564085828506159,8.973438621679828e-05,4.8375,5.936557788944723,0.7701005025125628
France,90490,185629,2.0513758426345454,8.348639171814995e-05,7.0375,5.322340958423777,0.8674236099515779,0.0002818754110683078,4.3625,5.996335619656112,0.7002724795640327
United States,90424,155339,1.7178956914093604,0.000501336898395722,8.825,5.330631684491979,0.8584558823529411,0.000281716593107334,6.1,5.976241900647948,0.6863555263405015
Socialism,90101,97706,1.0844052785207712,8.517887563884156e-05,5.625,5.643611584327087,0.7914821124361159,0.0,3.875,6.449031500684797,0.7385051848953238
Wikipedia,89240,81820,0.9168534289556253,0.002780117944397641,6.4375,5.441364785172705,0.7993260320134794,0.005351681957186544,5.8625,6.282587920489297,0.746368501529052
Istanbul,88144,74503,0.8452418769286622,0.0003329171868497711,6.3625,5.285143570536829,0.7799417394923013,0.0003044448954739192,4.281706776908313,6.149786888573169,0.7336107164603207
Moon,87439,61539,0.7037935017555096,0.00015653126712060735,7.1,4.964545667997182,0.7992486499178211,0.0013164193393968406,6.841190139586279,5.8244375299186215,0.738750598372427
Alexander the Great,87309,104099,1.1923054896975112,0.0,6.825,5.140516149461685,0.8041481950601647,0.0,4.15,5.918124436429215,0.7233543733092876
Paris,86663,118432,1.3665808938070456,0.00016431153466973383,7.05,5.134324679592507,0.7962536970095301,9.446438692612885e-05,4.2,6.103249574910259,0.6728698280748158
Beijing,86371,100409,1.1625314052170288,0.00016519368960105725,6.6625,5.1699843065994875,0.8025935409267366,0.00018962738219398882,4.325,6.178344552953447,0.6851237318668816
Isaac Newton,85781,88828,1.035520686399086,0.0,6.45,5.172275641025641,0.795352564102564,0.0,4.25,6.100712105798576,0.7380005548876353
Albert Einstein,85583,63582,0.7429279179276258,0.00015933715742511153,7.0625,5.141411727214787,0.8029796048438496,0.0005562972852692479,7.926771727847504,5.697151757899421,0.762572318647085
Napoleon,85533,245378,2.8688108683198297,0.00032229473853839335,8.1125,5.152848279751833,0.9729272419627749,0.0001792435920415845,4.45,5.802115074386091,0.8114357411722531
Brazil,85195,173572,2.03734960971888,8.396305625524769e-05,6.65,5.329890848026868,0.8492023509655752,0.0,3.8625,6.185086297320492,0.6840850576904739
Artificial intelligence,84851,103136,1.2154953978149934,0.004259939859672569,7.0625,5.434263280988974,0.7934346809221516,0.006149341142020498,5.7125,6.4505612493899465,0.7099072718399219
Olympic Games,84208,98883,1.1742708531255939,8.033419023136246e-05,6.7625,5.129820051413882,0.8349132390745502,9.336196433572963e-05,4.3,6.059284847353188,0.7318644384277845
World War II,84180,177124,2.104110239961986,0.0,6.45,5.313879996716737,0.9065090700155956,9.393199323689649e-05,6.05,5.966748074394139,0.7403719706932181
World War I,83704,185144,2.2118895154353435,0.0,6.9125,5.290797749089705,0.8713174445547832,0.0,4.2375,6.042772723009098,0.7735672075790263
Hinduism,83589,128041,1.531792460730479,0.0002439421044072207,6.75,5.27972027972028,0.8166368515205724,0.0,4.45,6.165257422021797,0.6770950770387073
Adolf Hitler,83395,94051,1.1277774446909288,0.0,7.425,5.225581017389891,0.8198439785470503,0.0,5.0375,5.944767173812817,0.729460580912863
